City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Boa Vista,BR,2021-09-27 23:50:46,2.8197,-60.6733,85.98,58,40,8.05
220,Buraydah,SA,2021-09-27 23:52:47,26.326,43.975,73.85,12,68,4.83
221,Sambava,MG,2021-09-27 23:52:47,-14.2667,50.1667,70.27,85,51,10.78
222,Faanui,PF,2021-09-27 23:52:48,-16.4833,-151.75,79.66,72,9,16.53
223,Karpathos,GR,2021-09-27 23:52:48,35.507,27.2132,72.99,76,0,16.46
224,Conceicao Do Araguaia,BR,2021-09-27 23:52:48,-8.2578,-49.2647,82.69,47,86,2.68
225,Isiro,CD,2021-09-27 23:52:49,2.7739,27.616,65.46,99,90,2.26
226,Menongue,AO,2021-09-27 23:49:49,-14.6585,17.691,64.81,30,61,4.36
227,Kurilsk,RU,2021-09-27 23:52:49,45.2333,147.8833,58.87,61,83,8.75
228,Dickinson,US,2021-09-27 23:52:50,29.4608,-95.0513,86.27,83,78,1.99
229,Kovacica,RS,2021-09-27 23:52:50,45.1117,20.6214,67.24,73,9,6.15
230,Conde,BR,2021-09-27 23:52:51,-7.2597,-34.9075,76.46,88,75,9.22
231,Eha Amufu,NG,2021-09-27 23:52:51,6.6592,7.7596,72.5,96,42,4.41
232,Esfahan,IR,2021-09-27 23:48:20,32.6572,51.6776,49.64,29,0,1.81
233,Horsham,GB,2021-09-27 23:52:52,51.064,-0.3272,56.5,74,0,5.75
234,Port-Cartier,CA,2021-09-27 23:48:14,50.0334,-66.8654,55.62,86,92,4.32
235,Saurimo,AO,2021-09-27 23:52:52,-9.6608,20.3916,66.4,82,96,2.71
236,Beringovskiy,RU,2021-09-27 23:52:53,63.05,179.3167,38.66,67,79,3.44
237,Lorengau,PG,2021-09-27 23:52:53,-2.0226,147.2712,85.21,66,92,8.52
238,Pueblo,US,2021-09-27 23:52:54,38.2545,-104.6091,85.95,27,1,13.8
239,Esperance,AU,2021-09-27 23:52:54,-33.8667,121.9,55.24,82,92,16.35
240,Tete,MZ,2021-09-27 23:52:55,-16.1564,33.5867,80.69,54,0,5.01
241,Acapulco,MX,2021-09-27 23:52:55,16.8634,-99.8901,82.26,79,81,7.11
242,Clyde River,CA,2021-09-27 23:52:56,70.4692,-68.5914,30.43,86,20,13.8
243,Vawkavysk,BY,2021-09-27 23:52:56,53.1561,24.4513,42.24,87,4,5.82
244,Berlevag,NO,2021-09-27 23:52:56,70.8578,29.0864,51.21,81,81,13.06
245,Ribeira Grande,PT,2021-09-27 23:52:40,38.5167,-28.7,70.34,83,72,13.65
246,Rusne,LT,2021-09-27 23:52:57,55.2964,21.3758,42.89,89,14,11.99
247,Evensk,RU,2021-09-27 23:52:58,61.95,159.2333,44.19,46,100,3.83
248,Yelizovo,RU,2021-09-27 23:52:58,53.1873,158.3805,53.74,62,20,6.71
249,Cidreira,BR,2021-09-27 23:52:58,-30.1811,-50.2056,66.31,92,0,13.82
250,Colwyn Bay,GB,2021-09-27 23:52:59,53.2948,-3.7267,51.76,88,49,3.0
251,Nanortalik,GL,2021-09-27 23:52:59,60.1432,-45.2371,34.63,68,0,2.26
252,Acajutla,SV,2021-09-27 23:53:00,13.5928,-89.8275,81.59,80,85,4.68
253,Olafsvik,IS,2021-09-27 23:53:00,64.8945,-23.7142,37.98,92,93,30.76
254,Ostrovnoy,RU,2021-09-27 23:53:01,68.0531,39.5131,46.02,89,99,4.52
255,Upernavik,GL,2021-09-27 23:53:01,72.7868,-56.1549,25.27,57,58,4.36
256,Trincomalee,LK,2021-09-27 23:53:01,8.5711,81.2335,80.62,78,97,22.97
257,Northam,GB,2021-09-27 23:53:02,51.0333,-4.2167,56.3,90,48,11.12
258,Fairbanks,US,2021-09-27 23:53:02,64.8378,-147.7164,39.6,69,75,2.3
259,Kudahuvadhoo,MV,2021-09-27 23:49:45,2.6708,72.8944,82.29,76,100,16.78
260,Makakilo City,US,2021-09-27 23:53:03,21.3469,-158.0858,84.61,60,20,12.66
261,Vila,PT,2021-09-27 23:53:03,42.0304,-8.1588,54.7,93,100,0.2
262,Mount Isa,AU,2021-09-27 23:53:04,-20.7333,139.5,87.57,11,62,10.36
263,Ajdabiya,LY,2021-09-27 23:53:05,30.7554,20.2263,71.62,70,17,8.25
264,Saint George,US,2021-09-27 23:53:05,37.1041,-113.5841,88.39,28,1,8.01
265,Konstantinovka,RU,2021-09-27 23:53:06,49.6167,127.9833,57.61,68,16,10.13
266,Tiksi,RU,2021-09-27 23:53:06,71.6872,128.8694,32.16,96,99,4.21
267,Lafayette,US,2021-09-27 23:51:53,30.2335,-92.0668,82.35,84,40,1.01
268,Inhambane,MZ,2021-09-27 23:53:07,-23.865,35.3833,71.01,86,89,8.88
269,Tarauaca,BR,2021-09-27 23:53:07,-8.1614,-70.7656,81.64,58,60,2.42
270,Westport,US,2021-09-27 23:48:21,41.1415,-73.3579,75.74,69,1,1.01
271,Palau,PW,2021-09-27 23:53:08,7.503,134.621,85.96,74,75,8.05
272,Phan Thiet,VN,2021-09-27 23:49:14,10.9333,108.1,79.3,82,83,3.67
273,Paamiut,GL,2021-09-27 23:53:09,61.994,-49.6678,34.3,58,0,3.56
274,Nichinan,JP,2021-09-27 23:53:09,31.6,131.3667,74.88,83,93,13.35
275,Sao Lourenco Do Oeste,BR,2021-09-27 23:53:09,-26.3592,-52.8511,70.52,51,16,2.37
276,Parintins,BR,2021-09-27 23:53:10,-2.6283,-56.7358,73.0,95,86,5.32
277,Tarakan,ID,2021-09-27 23:53:10,3.3,117.6333,76.5,94,75,5.75
278,Lishui,CN,2021-09-27 23:53:11,28.4604,119.9103,77.61,78,51,1.43
279,Altay,CN,2021-09-27 23:53:11,47.8667,88.1167,44.15,53,92,1.34
280,Klaksvik,FO,2021-09-27 23:53:11,62.2266,-6.589,45.52,86,100,12.68
281,Comodoro Rivadavia,AR,2021-09-27 23:50:23,-45.8667,-67.5,55.26,33,20,14.97
282,Casma,CL,2021-09-27 23:53:12,-41.0082,-73.1244,52.88,91,99,3.29
283,Srednekolymsk,RU,2021-09-27 23:53:13,67.45,153.6833,27.09,57,79,14.79
284,Port Hedland,AU,2021-09-27 23:53:13,-20.3167,118.5667,77.05,20,63,13.8
285,San Quintin,MX,2021-09-27 23:52:30,30.4833,-115.95,69.89,74,79,16.33
286,Xuddur,SO,2021-09-27 23:53:14,4.1213,43.8894,71.74,71,37,15.52
287,Palmi,IT,2021-09-27 23:53:14,38.3653,15.8615,74.84,76,100,2.13
288,Bartica,GY,2021-09-27 23:53:15,6.4,-58.6167,79.12,95,73,3.83
289,Sinnamary,GF,2021-09-27 23:53:15,5.3833,-52.95,79.77,83,18,10.4
290,San Cristobal,VE,2021-09-27 23:53:15,7.7669,-72.225,78.98,94,71,3.62
291,Tabas,IR,2021-09-27 23:53:16,33.5959,56.9244,75.31,25,0,2.44
292,Aransas Pass,US,2021-09-27 23:53:16,27.9095,-97.15,84.97,82,1,5.01
293,Ordzhonikidze,KZ,2021-09-27 23:53:17,52.4411,61.7408,35.02,98,100,12.28
294,Wajir,KE,2021-09-27 23:53:17,1.7471,40.0573,75.45,63,82,15.26
