City_ID,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,111,San Policarpo,PH,12.1791,125.5072,79.27,89.00%,100.00%,13.85,moderate rain
120,120,Tuy Hoa,VN,13.0833,109.3,76.05,92.00%,97.00%,4.5,overcast clouds
122,122,Avarua,CK,-21.2078,-159.775,77.05,73.00%,20.00%,11.5,few clouds
124,124,Sur,OM,22.5667,59.5289,82.9,72.00%,6.00%,10.45,clear sky
127,127,Kavieng,PG,-2.5744,150.7967,81.54,72.00%,100.00%,1.63,overcast clouds
130,130,Sao Filipe,CV,14.8961,-24.4956,80.55,81.00%,22.00%,5.37,few clouds
132,132,Maroua,CM,10.591,14.3159,77.95,75.00%,75.00%,5.44,light rain
133,133,Gayeri,BF,12.6497,0.4931,85.62,46.00%,55.00%,5.35,broken clouds
140,140,Victoria,HK,22.2855,114.1577,85.32,80.00%,30.00%,1.01,scattered clouds
141,141,Macau,MO,22.2006,113.5461,85.06,79.00%,20.00%,9.22,light rain
143,143,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83.00%,75.00%,11.5,broken clouds
147,147,Avera,US,33.194,-82.5271,83.08,75.00%,100.00%,5.84,overcast clouds
148,148,Butaritari,KI,3.0707,172.7902,82.0,68.00%,96.00%,10.18,overcast clouds
150,150,Port Blair,IN,11.6667,92.75,80.28,82.00%,71.00%,9.57,broken clouds
151,151,Banjar,ID,-8.19,114.9675,76.91,90.00%,44.00%,6.15,scattered clouds
154,154,Faanui,PF,-16.4833,-151.75,78.4,71.00%,11.00%,16.02,few clouds
155,155,Hobyo,SO,5.3505,48.5268,78.24,87.00%,94.00%,20.24,overcast clouds
157,157,Hambantota,LK,6.1241,81.1185,79.14,100.00%,20.00%,6.91,few clouds
162,162,Kupang,ID,-10.1667,123.5833,76.03,79.00%,16.00%,4.72,few clouds
164,164,San Cristobal,VE,7.7669,-72.225,82.58,57.00%,99.00%,4.97,overcast clouds
165,165,San Quintin,MX,30.4833,-115.95,78.73,50.00%,10.00%,11.18,clear sky
170,170,Mogadishu,SO,2.0371,45.3438,78.01,87.00%,82.00%,14.61,broken clouds
171,171,Lompoc,US,34.6391,-120.4579,88.57,54.00%,1.00%,9.22,clear sky
172,172,Santiago,CL,-33.4569,-70.6483,79.18,23.00%,0.00%,8.05,clear sky
174,174,Wyndham,US,37.6985,-77.6125,83.62,75.00%,40.00%,8.05,scattered clouds
